emotionclass,attacktime,zerocross,rolloff,brightness,centroid,roughness,regularity,pitch
1,0.022720322,809.5583333,4449.521484,0.353842856,2099.245697,3.069391537,0.101148951,399.836876
2,0.165877778,1366.810991,6089.880133,0.47787718,3066.890047,0.293710532,0.01670477,548.3170292
2,0.04064221,1331.515404,5345.320956,0.455399219,2843.754297,0.635726888,0.027597124,551.7793497
2,0.054275595,1086.103247,4587.895504,0.40358885,2581.004528,3.316034834,0.063124534,557.0830058
2,0.051329973,1356.736053,5637.157837,0.458494939,2937.187736,2.301666615,0.05015158,575.2782676
2,0.053813218,1242.281432,5726.565752,0.471579599,2932.005904,4.060841312,0.056055904,509.8684219
2,0.039300967,1292.325,5616.064453,0.456471802,2928.19416,5.701643435,0.060991847,540.7735152
1,0.051172024,553.0557868,2534.626589,0.205265135,1548.4456,0.182956929,0.07232556,356.4893729
1,0.020746814,519.1507077,2100.144411,0.196298329,1439.294858,0.219115487,0.128038359,567.2178386
1,0.019692598,522.6061615,2373.373751,0.196235626,1487.853163,0.476469154,0.141105656,334.5109771
1,0.017232222,448.0932556,2236.319994,0.187124214,1417.540619,0.152880392,0.049125256,125.0991584
1,0.023041667,517.194005,2223.303497,0.19840204,1458.980316,0.140525099,0.078607453,525.4870301
1,0.018870719,625.4,2670.9375,0.218920601,1626.320952,0.282040763,0.098433073,541.8195527
2,0.0526875,1045.878435,3344.78946,0.35755274,1904.458269,1.678090247,0.033217128,574.8643836
2,0.017654343,886.7277269,2993.940596,0.311624905,1739.744683,1.407491219,0.147628203,490.4016677
2,0.020188844,984.9625312,3291.807608,0.334005977,1873.875818,0.984221764,0.141685603,528.5365073
2,0.03675,973.3139051,3241.371123,0.328093412,1854.881477,0.144187517,0.003167609,552.359169
2,0.0351875,989.7002498,3385.303913,0.342356984,1898.775551,4.184677944,0.034529706,531.0485623
2,0.028983712,966.6916667,3364.570313,0.349996555,1906.489892,3.84150669,0.074003831,532.4724263
1,0.029648098,1095.770192,4482.347955,0.396319024,2290.106757,0.345468696,0.018930815,235.864137
1,0.018687879,1103.147377,4810.200484,0.396185864,2323.120587,0.411584279,0.008882696,186.9748251
1,0.018870265,960.6244796,3983.467553,0.363936381,2099.164419,1.27781529,0.008130881,159.6993452
1,0.032635621,1408.850958,5274.540097,0.446179697,2598.280941,0.355350951,0.031256487,350.0628053
1,0.027384115,1253.846794,4994.724448,0.422321311,2459.929194,1.174215931,0.041644475,588.4232975
1,0.026135714,1264.433333,4726.708984,0.435126105,2397.455459,0.745686161,0.08184016,495.3975671
2,0.026804464,1684.496253,4836.590719,0.369455457,2318.119052,16.58743333,0.098892406,409.5141746
2,0.021231373,1891.240633,4905.082353,0.362071842,2321.40194,24.36452135,0.125445606,500.6627877
2,0.01948101,1627.127394,4222.038275,0.347202443,2153.892376,25.65314161,0.129320595,665.6351333
2,0.020363782,1488.98418,3964.24529,0.352903775,2080.620477,20.30843534,0.134388984,372.7015045
2,0.023482386,1645.353872,4359.092033,0.375758419,2201.581594,30.04932353,0.186915976,451.5633093
2,0.021945755,1503.5,3843.017578,0.330911591,2052.497752,36.24154531,0.170448182,732.0530716
1,0.119185268,1186.877602,4797.114025,0.397152181,2500.891623,0.356579952,0.036986724,411.1446792
1,0.041649306,1494.554538,5359.371748,0.472919987,2808.693245,0.078376325,0.012413411,475.0356685
1,0.060451389,1277.485429,5205.378981,0.425172723,2633.58144,0.030903979,0.016791812,463.5884173
1,0.059568452,1482.947544,5612.949495,0.48328338,2856.175778,0.00577732,0.00141955,337.2538237
1,0.047764254,726.5278934,3678.653206,0.31135183,1988.123719,0.160400127,0.045222037,262.1240346
1,0.038102214,1158.566667,4530.869141,0.402977169,2417.851095,0.156614744,0.040054287,361.1165776
2,0.082346354,994.5878435,3962.691327,0.35819602,2234.553117,0.012535507,0.019025627,253.4154965
2,0.040434524,1136.003331,3282.186719,0.346055545,2070.274185,0.059161866,0.061875457,402.9917692
2,0.033953431,1062.181515,3321.372814,0.33630277,1971.651794,0.000503297,0.009208257,240.2994302
